category,text
work,finish assignment 2
work,meeting with the boss
personal,visit the dentist for a check-up
work,study for organic chemistry final
personal,grocery shopping
personal,lunch with grandma
work,do practice problems
work,leetcode
personal,cook dinner
personal,go for a walk
work,prepare the presentation for the new product
work,fix the bug on the website
personal,plan the weekend trip
personal,read a book
work,review the budget report
work,attend project meeting
personal,watch a movie
work,write the code for the new feature
personal,call mom
work,send the email to the client
personal,visit a friend
work,prepare for the quarterly review
personal,go to the gym
work,complete the market research
work,update the team on progress
personal,clean the house
personal,visit the park
work,analyze sales data
work,review the contract terms
personal,play a video game
work,create a marketing strategy
personal,attend yoga class
personal,bake cookies
work,design the new website layout
work,prepare for the interview
personal,go to a concert
work,write a blog post for the company
personal,plan a surprise for a friend
work,test the new software
personal,shop for clothes
work,review team performance
personal,organize the photo album
work,train the new employees
personal,go hiking
work,plan the monthly meeting agenda
work,fix security issues in the code
personal,attend a cooking class
work,prepare the financial report
work,write the proposal for the client
personal,meditate in the morning
work,conduct the product demo
personal,start a new hobby
work,update the company handbook
personal,decorate the living room
work,review the competitors' products
personal,buy a birthday gift
work,write the technical documentation
work,attend a webinar on leadership
personal,go for a bike ride
work,plan the next product launch
personal,attend a family gathering
work,prepare the presentation slides
personal,do a puzzle
work,send follow-up emails to the team
personal,visit a museum
work,review the project timeline
work,analyze user feedback
personal,plan a home renovation
personal,make a scrapbook
work,conduct a training session
personal,start a new book
work,prepare the annual budget
work,develop a new app feature
personal,visit the farmer's market
personal,take a nap
work,write the annual report
work,organize the client database
personal,learn a new recipe
work,meet with the project stakeholders
personal,watch a documentary
work,create a content calendar
personal,visit the aquarium
work,finish the marketing plan
personal,go to the beach
work,review the company's KPIs
personal,start a garden
work,plan the office relocation
personal,do yoga
work,design the new product packaging
personal,learn to play guitar
work,conduct the performance reviews
personal,organize a dinner party
work,prepare the client invoices
personal,go swimming
work,create a new sales pitch
personal,do a photography session
work,update the project management software
personal,go to a comedy show
work,write the customer feedback report
personal,organize a charity event
work,review the company's social media strategy
personal,start a blog
work,develop a new customer survey
personal,make a vision board
work,plan the next team-building event
personal,go to a wine tasting
work,create the quarterly performance review
personal,attend a pottery class
work,analyze the new market trends
personal,visit the art gallery
work,write the next product update
personal,go to a sports game
work,plan the year-end review
personal,start a journal
